Region,Type,Filename,Size (KB),Last Modified,File Path
hong-kong,Document,hk_generative_ai_guideline.pdf,1126.26,2025-11-21T03:31:23.871Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\downloads\hong-kong\hk_generative_ai_guideline.pdf
hong-kong,Document,hk_personal_data_privacy_ordinance.pdf,7.38,2025-11-21T03:31:33.706Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\downloads\hong-kong\hk_personal_data_privacy_ordinance.pdf
hong-kong,Screenshot,hk_generative_ai_guideline_page.png,822.20,2025-11-21T03:31:21.720Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\screenshots\hong-kong\hk_generative_ai_guideline_page.png
hong-kong,Screenshot,hk_personal_data_privacy_ordinance_page.png,177.17,2025-11-21T03:31:31.589Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\screenshots\hong-kong\hk_personal_data_privacy_ordinance_page.png
europe-eu,Document,eu_ai_act_regulation_2024_1689.pdf,2522.77,2025-11-21T03:32:05.718Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\downloads\europe-eu\eu_ai_act_regulation_2024_1689.pdf
europe-eu,Screenshot,eu_ai_act_regulation_2024_1689_page.png,17080.48,2025-11-21T03:32:00.922Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\screenshots\europe-eu\eu_ai_act_regulation_2024_1689_page.png
united-states,Document,us_americas_ai_action_plan.pdf,509.39,2025-11-21T03:32:30.500Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\downloads\united-states\us_americas_ai_action_plan.pdf
united-states,Document,us_preventing_woke_ai.html,179.99,2025-11-21T03:32:23.636Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\downloads\united-states\us_preventing_woke_ai.html
united-states,Document,us_removing_barriers_ai_leadership.html,203.22,2025-11-21T03:32:16.254Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\downloads\united-states\us_removing_barriers_ai_leadership.html
united-states,Screenshot,us_americas_ai_action_plan_page.png,341.72,2025-11-21T03:32:28.346Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\screenshots\united-states\us_americas_ai_action_plan_page.png
united-states,Screenshot,us_blueprint_ai_bill_of_rights_page.png,92.25,2025-11-21T03:32:35.139Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\screenshots\united-states\us_blueprint_ai_bill_of_rights_page.png
united-states,Screenshot,us_colorado_sb24_205_ai_act_page.png,539.60,2025-11-21T03:32:45.729Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\screenshots\united-states\us_colorado_sb24_205_ai_act_page.png
united-states,Screenshot,us_preventing_woke_ai_page.png,792.43,2025-11-21T03:32:21.084Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\screenshots\united-states\us_preventing_woke_ai_page.png
united-states,Screenshot,us_removing_barriers_ai_leadership_page.png,582.68,2025-11-21T03:32:13.046Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\screenshots\united-states\us_removing_barriers_ai_leadership_page.png
united-kingdom,Document,uk_ai_opportunities_action_plan.html,243.82,2025-11-21T03:33:18.216Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\downloads\united-kingdom\uk_ai_opportunities_action_plan.html
united-kingdom,Document,uk_ai_opportunities_government_response.pdf,253.53,2025-11-21T03:33:25.356Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\downloads\united-kingdom\uk_ai_opportunities_government_response.pdf
united-kingdom,Document,uk_ai_playbook_government.html,673.08,2025-11-21T03:33:37.269Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\downloads\united-kingdom\uk_ai_playbook_government.html
united-kingdom,Document,uk_pro_innovation_ai_regulation_white_paper.html,831.63,2025-11-21T03:33:02.384Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\downloads\united-kingdom\uk_pro_innovation_ai_regulation_white_paper.html
united-kingdom,Document,uk_pro_innovation_government_response.pdf,1704.83,2025-11-21T03:33:09.710Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\downloads\united-kingdom\uk_pro_innovation_government_response.pdf
united-kingdom,Screenshot,uk_ai_opportunities_action_plan_page.png,5229.25,2025-11-21T03:33:15.662Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\screenshots\united-kingdom\uk_ai_opportunities_action_plan_page.png
united-kingdom,Screenshot,uk_ai_opportunities_government_response_page.png,333.90,2025-11-21T03:33:22.949Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\screenshots\united-kingdom\uk_ai_opportunities_government_response_page.png
united-kingdom,Screenshot,uk_ai_playbook_government_page.png,18703.98,2025-11-21T03:33:34.685Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\screenshots\united-kingdom\uk_ai_playbook_government_page.png
united-kingdom,Screenshot,uk_pro_innovation_ai_regulation_white_paper_page.png,18618.14,2025-11-21T03:32:59.737Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\screenshots\united-kingdom\uk_pro_innovation_ai_regulation_white_paper_page.png
united-kingdom,Screenshot,uk_pro_innovation_government_response_page.png,511.95,2025-11-21T03:33:07.315Z,C:\Users\user\Documents\proj01_chatbot_edu\week11_law\ai-ethics-docs-repo\screenshots\united-kingdom\uk_pro_innovation_government_response_page.png
